team_number,team_id,file_name,trainer_name,trainer_class,master_or_normal,format,set_number,team_label,source_file,source_page_url,pokemon_count,pokemon_species
48,T00000048,T00000048_IreneandHaylee_MD1.txt,Irene and Haylee,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Nidoking, Arcanine, Weavile, Gardevoir"
49,T00000049,T00000049_AbbeyandCarley_MD1.txt,Abbey and Carley,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Abomasnow, Registeel, Lopunny, Ampharos"
50,T00000050,T00000050_AbbeyandBrant_MD1.txt,Abbey and Brant,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Staraptor, Floatzel, Mismagius, Latias"
51,T00000051,T00000051_DallinandBarrett_MD1.txt,Dallin and Barrett,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Crobat, Regirock, Regice, Electivire"
52,T00000052,T00000052_DallinandRyne_MD1.txt,Dallin and Ryne,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Weavile, Quagsire, Dragonite, Weezing"
53,T00000053,T00000053_DallinandJaylin_MD1.txt,Dallin and Jaylin,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Swampert, Arcanine, Heracross, Vileplume"
54,T00000054,T00000054_DallinandJaylin_MD1.txt,Dallin and Jaylin,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team B,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Tyranitar, Metagross, Swampert, Blissey"
55,T00000055,T00000055_JaydenandJosie_MD1.txt,Jayden and Josie,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Manectric, Rhydon, Torterra, Feraligatr"
56,T00000056,T00000056_JaydenandJosie_MD1.txt,Jayden and Josie,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team B,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Entei, Raikou, Dewgong, Umbreon"
57,T00000057,T00000057_CortneyandCelina_MD1.txt,Cortney and Celina,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Miltank, Entei, Moltres, Glalie"
58,T00000058,T00000058_CortneyandTavon_MD1.txt,Cortney and Tavon,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Milotic, Cradily, Mamoswine, Venusaur"
59,T00000059,T00000059_CortneyandHaylee_MD1.txt,Cortney and Haylee,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Regice, Typhlosion, Regigigas, Rhyperior"
60,T00000060,T00000060_CelinaandKevon_MD1.txt,Celina and Kevon,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Regigigas, Altaria, Venusaur, Alakazam"
61,T00000061,T00000061_CelinaandKendel_MD1.txt,Celina and Kendel,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Donphan, Shuckle, Vileplume, Lucario"
62,T00000062,T00000062_DenverandBenny_MD1.txt,Denver and Benny,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Gastrodon, Suicune, Charizard, Honchkrow"
63,T00000063,T00000063_DenverandKennedy_MD1.txt,Denver and Kennedy,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Golem, Forretress, Mismagius, Toxicroak"
64,T00000064,T00000064_RustyandElaine_MD1.txt,Rusty and Elaine,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Bastiodon, Heracross, Suicune, Vespiquen"
65,T00000065,T00000065_RustyandJarred_MD1.txt,Rusty and Jarred,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Tauros, Quagsire, Slowking, Moltres"
66,T00000066,T00000066_RustyandKenton_MD1.txt,Rusty and Kenton,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Magmortar, Weezing, Togekiss, Zapdos"
67,T00000067,T00000067_RustyandTavon_MD1.txt,Rusty and Tavon,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Moltres, Electivire, Breloom, Latias"
68,T00000068,T00000068_DarcyandBryon_MD1.txt,Darcy and Bryon,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Rhyperior, Swampert, Gliscor, Umbreon"
69,T00000069,T00000069_JoyandBrant_MD1.txt,Joy and Brant,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Machamp, Medicham, Abomasnow, Salamence"
70,T00000070,T00000070_JoyandTasha_MD1.txt,Joy and Tasha,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Hariyama, Honchkrow, Registeel, Latias"
71,T00000071,T00000071_AlonsoandDaron_MD1.txt,Alonso and Daron,Master Class Double Battles/2,M,D,1,Master Class Double Battles: Team A,2.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/2,4,"Ursaring, Articuno, Porygon2, Suicune"
72,T00000072,T00000072_AlonsoandRiver_MD1.txt,Alonso and River,Master Class Double Battles/2,M,D,1,Master Class Double Battles: Team A,2.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/2,4,"Slowbro, Swampert, Nidoking, Regice"
